loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
232,15,False,3PT,Right Corner 3,23,0022100004,20211020,Right Side(R)
-6,45,False,2PT,In The Paint (Non-RA),4,0022100004,20211020,Center(C)
15,24,True,2PT,Restricted Area,2,0022100004,20211020,Center(C)
9,16,True,2PT,Restricted Area,1,0022100004,20211020,Center(C)
-203,172,False,3PT,Above the Break 3,26,0022100004,20211020,Left Side Center(LC)
9,10,False,2PT,Restricted Area,1,0022100004,20211020,Center(C)
-225,6,True,3PT,Left Corner 3,22,0022100004,20211020,Left Side(L)
-28,10,False,2PT,Restricted Area,2,0022100004,20211020,Center(C)
109,108,False,2PT,Mid-Range,15,0022100022,20211022,Right Side(R)
2,11,False,2PT,Restricted Area,1,0022100030,20211023,Center(C)
15,4,True,2PT,Restricted Area,1,0022100030,20211023,Center(C)
43,17,False,2PT,In The Paint (Non-RA),4,0022100030,20211023,Center(C)
58,58,False,2PT,In The Paint (Non-RA),8,0022100067,20211028,Right Side(R)
11,-4,False,2PT,Restricted Area,1,0022100067,20211028,Center(C)
217,105,True,3PT,Above the Break 3,24,0022100083,20211030,Right Side Center(RC)
6,25,False,2PT,Restricted Area,2,0022100083,20211030,Center(C)
1,7,False,2PT,Restricted Area,0,0022100083,20211030,Center(C)
-18,-11,False,2PT,Restricted Area,2,0022100083,20211030,Center(C)
-17,5,False,2PT,Restricted Area,1,0022100083,20211030,Center(C)
181,153,False,3PT,Mid-Range,23,0022100083,20211030,Right Side Center(RC)
22,69,True,2PT,In The Paint (Non-RA),7,0022100098,20211101,Center(C)
4,8,True,2PT,Restricted Area,0,0022100098,20211101,Center(C)
40,15,True,2PT,In The Paint (Non-RA),4,0022100098,20211101,Center(C)
-239,-2,True,3PT,Left Corner 3,23,0022100098,20211101,Left Side(L)
28,11,True,2PT,Restricted Area,3,0022100098,20211101,Center(C)
218,151,True,3PT,Above the Break 3,26,0022100098,20211101,Right Side Center(RC)
94,-18,False,2PT,Mid-Range,9,0022100111,20211103,Right Side(R)
221,55,False,3PT,Right Corner 3,22,0022100111,20211103,Right Side(R)
186,167,True,3PT,Above the Break 3,24,0022100111,20211103,Right Side Center(RC)
-6,3,False,2PT,Restricted Area,0,0022100135,20211106,Center(C)
7,8,True,2PT,Restricted Area,1,0022100135,20211106,Center(C)
-11,8,False,2PT,Restricted Area,1,0022100135,20211106,Center(C)
147,60,False,2PT,Mid-Range,15,0022100135,20211106,Right Side(R)
173,188,False,3PT,Above the Break 3,25,0022100135,20211106,Right Side Center(RC)
132,213,False,3PT,Above the Break 3,25,0022100148,20211108,Right Side Center(RC)
112,126,True,2PT,Mid-Range,16,0022100148,20211108,Right Side Center(RC)
1,-1,False,2PT,Restricted Area,0,0022100148,20211108,Center(C)
-124,218,False,3PT,Above the Break 3,25,0022100148,20211108,Left Side Center(LC)
0,0,True,2PT,Restricted Area,0,0022100148,20211108,Center(C)
17,2,True,2PT,Restricted Area,1,0022100148,20211108,Center(C)
243,-6,True,3PT,Right Corner 3,24,0022100148,20211108,Right Side(R)
227,5,False,3PT,Right Corner 3,22,0022100148,20211108,Right Side(R)
2,11,True,2PT,Restricted Area,1,0022100148,20211108,Center(C)
13,2,True,2PT,Restricted Area,1,0022100148,20211108,Center(C)
-173,-4,False,2PT,Mid-Range,17,0022100163,20211110,Left Side(L)
1,0,True,2PT,Restricted Area,0,0022100163,20211110,Center(C)
230,25,False,3PT,Right Corner 3,23,0022100163,20211110,Right Side(R)
7,6,False,2PT,Restricted Area,0,0022100163,20211110,Center(C)
-114,120,False,2PT,Mid-Range,16,0022100163,20211110,Left Side Center(LC)
-214,136,False,3PT,Above the Break 3,25,0022100163,20211110,Left Side Center(LC)
13,-1,True,2PT,Restricted Area,1,0022100163,20211110,Center(C)
224,-25,True,3PT,Right Corner 3,22,0022100163,20211110,Right Side(R)
-22,10,False,2PT,Restricted Area,2,0022100163,20211110,Center(C)
222,33,True,3PT,Right Corner 3,22,0022100183,20211112,Right Side(R)
232,28,True,3PT,Right Corner 3,23,0022100183,20211112,Right Side(R)
-43,49,False,2PT,In The Paint (Non-RA),6,0022100183,20211112,Center(C)
232,56,False,3PT,Right Corner 3,23,0022100183,20211112,Right Side(R)
60,115,False,2PT,In The Paint (Non-RA),12,0022100183,20211112,Center(C)
-28,11,False,2PT,Restricted Area,3,0022100183,20211112,Center(C)
234,58,False,3PT,Right Corner 3,24,0022100198,20211114,Right Side(R)
-17,5,True,2PT,Restricted Area,1,0022100198,20211114,Center(C)
17,15,True,2PT,Restricted Area,2,0022100198,20211114,Center(C)
-18,2,False,2PT,Restricted Area,1,0022100198,20211114,Center(C)
6,11,True,2PT,Restricted Area,1,0022100209,20211115,Center(C)
22,53,True,2PT,In The Paint (Non-RA),5,0022100209,20211115,Center(C)
230,94,False,3PT,Above the Break 3,24,0022100209,20211115,Right Side Center(RC)
17,18,False,2PT,Restricted Area,2,0022100209,20211115,Center(C)
-228,74,False,3PT,Left Corner 3,23,0022100209,20211115,Left Side(L)
-2,32,False,2PT,Restricted Area,3,0022100209,20211115,Center(C)
9,27,False,2PT,Restricted Area,2,0022100209,20211115,Center(C)
-77,267,True,3PT,Above the Break 3,27,0022100223,20211117,Center(C)
4,-2,True,2PT,Restricted Area,0,0022100223,20211117,Center(C)
