season,season_label,player_id,player_name,games,minutes,minutes_per_game,possessions,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,ppg,points_per_75,pra,pra_per_75,obpm,dbpm,bpm,vorp,ws,ts_pct,qualified_0,qualified_300,qualified_500,qualified_750,qualified_1000,rank_bpm_0,rank_vorp_0,rank_ppg_0,rank_pra_per_75_0,rank_bpm_300,rank_vorp_300,rank_ppg_300,rank_pra_per_75_300,rank_bpm_500,rank_vorp_500,rank_ppg_500,rank_pra_per_75_500,rank_bpm_750,rank_vorp_750,rank_ppg_750,rank_pra_per_75_750,rank_bpm_1000,rank_vorp_1000,rank_ppg_1000,rank_pra_per_75_1000,rim_fga,paint_non_rim_fga,midrange_fga,left_corner_three_fga,right_corner_three_fga,above_break_three_fga,backcourt_fga,three_fga,shot_zone_fga,rim_attempt_share,three_attempt_share,team_wins,team_losses,team_games,previous_team_wins,previous_team_games,team_win_change,team_win_pct,previous_team_win_pct,team_win_pct_change,rank_ws_0,rank_ws_300,rank_ws_500,rank_ws_750,rank_ws_1000,league_ts_pct,ts_rel
2009,2008-09,201565,Derrick Rose,81,3000.048333333333,37.03763374485597,5907,1361,317,512,66,18,202,1208,16.80246913580247,17.28034535297105,2190,27.80599288979177,1.1,-1.5,-0.4,1.2,4.9,0.516,True,True,True,True,True,11.0,4.0,1.0,7.0,7.0,4.0,1.0,5.0,6.0,4.0,1.0,5.0,6.0,4.0,1.0,4.0,6.0,4.0,1.0,4.0,484,130,522,4.0,6.0,55,7.0,72.0,1208.0,0.4006622516556291,0.0596026490066225,41,41,82,33.0,82.0,8.0,0.5,0.4024390243902439,0.097560975609756,2.0,2.0,2.0,2.0,2.0,0.5443848603182649,-2.8384860318264926
2004,2003-04,2550,Kirk Hinrich,76,2709.2683333333334,35.64826754385965,5236,915,259,517,101,21,204,823,12.039473684210526,13.106378915202445,1691,24.221734148204735,-0.5,-0.4,-0.8,0.8,4.1,0.51,True,True,True,True,True,14.0,6.0,5.0,21.0,9.0,6.0,5.0,16.0,8.0,6.0,5.0,15.0,8.0,6.0,5.0,14.0,8.0,6.0,5.0,13.0,176,77,202,47.0,24.0,296,1.0,368.0,823.0,0.2138517618469015,0.4471445929526124,23,59,82,30.0,82.0,-7.0,0.2804878048780488,0.3658536585365853,-0.0853658536585365,4.0,4.0,4.0,4.0,4.0,0.51619672389625,-0.6196723896250034
2002,2001-02,2239,Trenton Hassell,78,2235.5783333333334,28.661260683760684,4281,681,255,172,55,44,101,628,8.73076923076923,11.93062368605466,1108,19.41135248773651,-1.7,-1.0,-2.7,-0.4,1.5,0.502,True,True,True,True,True,33.0,62.0,14.0,49.0,25.0,34.0,14.0,36.0,23.0,27.0,14.0,31.0,22.0,23.0,14.0,27.0,17.0,17.0,14.0,21.0,152,41,271,24.0,10.0,127,3.0,164.0,628.0,0.2420382165605095,0.2611464968152866,21,61,82,15.0,82.0,6.0,0.2560975609756097,0.1829268292682926,0.073170731707317,21.0,21.0,21.0,20.0,18.0,0.5202897487957688,-1.8289748795768834
2010,2009-10,201959,Taj Gibson,82,2203.5816666666665,26.872947154471543,4301,735,611,70,50,104,114,629,8.963414634146341,12.816786793768893,1416,24.691932108811905,-2.4,0.5,-2.0,0.0,4.7,0.521,True,True,True,True,True,23.0,17.0,12.0,19.0,15.0,15.0,12.0,14.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,11.0,305,91,233,0.0,0.0,0,0.0,0.0,629.0,0.4848966613672496,0.0,41,41,82,41.0,82.0,0.0,0.5,0.5,0.0,3.0,3.0,3.0,3.0,3.0,0.543,-2.200000000000002
2005,2004-05,2768,Chris Duhon,82,2171.7633333333333,26.48491869918699,4229,487,213,398,82,3,119,488,5.939024390243903,8.636793568219437,1098,19.47268857886025,-2.2,1.6,-0.7,0.7,4.1,0.471,True,True,True,True,True,13.0,7.0,25.0,48.0,8.0,7.0,25.0,35.0,7.0,7.0,24.0,30.0,7.0,7.0,23.0,26.0,7.0,7.0,21.0,20.0,130,48,46,23.0,16.0,224,1.0,264.0,488.0,0.2663934426229508,0.5409836065573771,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,4.0,4.0,4.0,4.0,4.0,0.5294055913399502,-5.840559133995027
2022,2021-22,1630245,Ayo Dosunmu,77,2109.641666666667,27.39794372294373,4418,679,214,256,60,29,108,535,8.818181818181818,11.526708918062472,1149,19.50543232231779,-1.9,-0.1,-2.0,0.0,3.0,0.596,True,True,True,True,True,23.0,17.0,13.0,47.0,15.0,15.0,13.0,34.0,13.0,13.0,13.0,29.0,12.0,12.0,13.0,25.0,10.0,10.0,13.0,19.0,211,59,80,34.0,61.0,89,1.0,185.0,535.0,0.394392523364486,0.3457943925233644,46,36,82,31.0,72.0,,0.5609756097560976,0.4305555555555556,0.130420054200542,9.0,9.0,9.0,9.0,9.0,0.566,3.0000000000000027
2018,2017-18,1628374,Lauri Markkanen,68,2020.02,29.706176470588236,4183,1033,508,79,39,40,83,862,15.191176470588236,18.52139612718145,1620,29.0461391345924,1.0,-1.2,-0.2,0.9,3.3,0.552,True,True,True,True,True,9.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,236,79,146,27.0,21.0,352,1.0,401.0,862.0,0.2737819025522042,0.4651972157772622,27,55,82,41.0,82.0,-14.0,0.3292682926829268,0.5,-0.1707317073170731,8.0,8.0,8.0,8.0,8.0,0.556,-0.40000000000000036
2005,2004-05,2732,Ben Gordon,82,2013.0933333333332,24.54991869918699,3991,1235,215,164,53,10,186,1056,15.060975609756095,23.208469055374593,1614,30.330744174392382,1.0,-0.3,0.7,1.4,3.5,0.526,True,True,True,True,True,5.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,185,147,393,42.0,54.0,233,2.0,331.0,1056.0,0.1751893939393939,0.3134469696969697,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,7.0,7.0,7.0,7.0,7.0,0.5294055913399502,-0.340559133995022
2021,2020-21,1630172,Patrick Williams,71,1983.3566666666663,27.934600938967133,4151,655,327,99,64,46,98,528,9.225352112676056,11.834497711394844,1081,19.53143820766081,-2.8,0.4,-2.4,-0.2,2.5,0.562,True,True,True,True,True,27.0,47.0,11.0,46.0,19.0,23.0,11.0,33.0,17.0,20.0,11.0,28.0,16.0,19.0,11.0,24.0,14.0,14.0,11.0,18.0,175,100,115,28.0,30.0,79,1.0,138.0,528.0,0.3314393939393939,0.2613636363636363,31,41,72,22.0,65.0,,0.4305555555555556,0.3384615384615385,0.0920940170940171,12.0,12.0,12.0,12.0,11.0,0.572,-0.9999999999999898
2003,2002-03,2398,Jay Williams,75,1961.19,26.1492,3952,714,195,350,86,17,171,685,9.52,13.550101214574898,1259,23.892965587044536,-1.3,-0.8,-2.0,0.0,0.8,0.472,True,True,True,True,True,23.0,17.0,9.0,23.0,15.0,15.0,9.0,18.0,13.0,13.0,9.0,17.0,12.0,12.0,9.0,15.0,10.0,10.0,9.0,14.0,210,101,172,19.0,25.0,158,0.0,202.0,685.0,0.3065693430656934,0.2948905109489051,30,52,82,21.0,82.0,9.0,0.3658536585365853,0.2560975609756097,0.1097560975609756,27.0,27.0,25.0,23.0,21.0,0.5193584617606707,-4.735846176067071
