rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2015-16,202710,Jimmy Butler III,28,30,67,67,93.33333333333333,0.417910447761194,Jimmy Butler,2015–16,93.3,0.42,alley-oop
2,2016-17,1626245,Cristiano Felicio,18,19,66,66,94.73684210526316,0.2727272727272727,Cristiano Felicio,2016–17,94.7,0.27,alley-oop
3,2022-23,203083,Andre Drummond,17,18,67,67,94.44444444444444,0.2537313432835821,Andre Drummond,2022–23,94.4,0.25,alley-oop
4,2025-26,1630208,Nick Richards,16,18,20,20,88.88888888888889,0.8,Nick Richards,2025–26,88.9,0.80,alley-oop
5,2016-17,202710,Jimmy Butler III,16,18,76,76,88.88888888888889,0.21052631578947367,Jimmy Butler,2016–17,88.9,0.21,alley-oop
6,2019-20,1628976,Wendell Carter Jr.,15,19,43,43,78.94736842105263,0.3488372093023256,Wendell Carter Jr.,2019–20,78.9,0.35,alley-oop
7,2019-20,1629655,Daniel Gafford,15,21,43,43,71.42857142857143,0.3488372093023256,Daniel Gafford,2019–20,71.4,0.35,alley-oop
8,2025-26,1641824,Matas Buzelis,12,13,77,77,92.3076923076923,0.15584415584415584,Matas Buzelis,2025–26,92.3,0.16,alley-oop
9,2018-19,1628976,Wendell Carter Jr.,10,10,44,44,100.0,0.22727272727272727,Wendell Carter Jr.,2018–19,100.0,0.23,alley-oop
10,2012-13,202710,Jimmy Butler III,10,11,82,82,90.9090909090909,0.12195121951219512,Jimmy Butler,2012–13,90.9,0.12,alley-oop
