loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-21,26,False,2PT,Restricted Area,3,0021000011,20101027,Center(C)
7,247,True,3PT,Above the Break 3,24,0021000011,20101027,Center(C)
-54,33,False,2PT,In The Paint (Non-RA),6,0021000011,20101027,Center(C)
226,17,False,3PT,Right Corner 3,22,0021000011,20101027,Right Side(R)
-81,242,False,3PT,Above the Break 3,25,0021000035,20101030,Left Side Center(LC)
-229,-10,False,3PT,Left Corner 3,22,0021000035,20101030,Left Side(L)
-10,31,True,2PT,Restricted Area,3,0021000035,20101030,Center(C)
-243,45,False,3PT,Left Corner 3,24,0021000035,20101030,Left Side(L)
-239,56,False,3PT,Left Corner 3,24,0021000035,20101030,Left Side(L)
146,209,False,3PT,Above the Break 3,25,0021000044,20101101,Right Side Center(RC)
211,126,True,3PT,Above the Break 3,24,0021000044,20101101,Right Side Center(RC)
6,19,True,2PT,Restricted Area,1,0021000066,20101104,Center(C)
-185,167,False,3PT,Above the Break 3,24,0021000066,20101104,Left Side Center(LC)
-166,176,False,3PT,Above the Break 3,24,0021000066,20101104,Left Side Center(LC)
13,16,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
4,17,False,2PT,Restricted Area,1,0021000073,20101105,Center(C)
21,0,True,2PT,Restricted Area,2,0021000073,20101105,Center(C)
-158,198,False,3PT,Above the Break 3,25,0021000073,20101105,Left Side Center(LC)
177,167,True,3PT,Above the Break 3,24,0021000098,20101108,Right Side Center(RC)
136,220,False,3PT,Above the Break 3,25,0021000098,20101108,Right Side Center(RC)
61,216,True,2PT,Mid-Range,22,0021000098,20101108,Center(C)
21,7,True,2PT,Restricted Area,2,0021000098,20101108,Center(C)
108,225,False,3PT,Above the Break 3,24,0021000098,20101108,Right Side Center(RC)
-212,-2,False,2PT,Mid-Range,21,0021000098,20101108,Left Side(L)
230,0,True,3PT,Right Corner 3,23,0021000098,20101108,Right Side(R)
124,213,False,3PT,Above the Break 3,24,0021000119,20101111,Right Side Center(RC)
