loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
26,12,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
9,12,False,2PT,Restricted Area,1,0021000011,20101027,Center(C)
-133,121,True,2PT,Mid-Range,17,0021000011,20101027,Left Side Center(LC)
21,11,True,2PT,Restricted Area,2,0021000011,20101027,Center(C)
10,17,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
-21,12,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
-4,11,False,2PT,Restricted Area,1,0021000011,20101027,Center(C)
10,179,False,2PT,Mid-Range,17,0021000011,20101027,Center(C)
-16,17,True,2PT,Restricted Area,2,0021000011,20101027,Center(C)
2,53,True,2PT,In The Paint (Non-RA),5,0021000011,20101027,Center(C)
18,7,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
-7,28,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
4,11,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
2,72,True,2PT,In The Paint (Non-RA),7,0021000035,20101030,Center(C)
13,15,True,2PT,Restricted Area,1,0021000035,20101030,Center(C)
0,3,False,2PT,Restricted Area,0,0021000035,20101030,Center(C)
-8,23,True,2PT,Restricted Area,2,0021000035,20101030,Center(C)
-62,17,True,2PT,In The Paint (Non-RA),6,0021000035,20101030,Center(C)
-13,386,False,3PT,Above the Break 3,38,0021000035,20101030,Center(C)
-8,53,False,2PT,In The Paint (Non-RA),5,0021000035,20101030,Center(C)
-41,58,False,2PT,In The Paint (Non-RA),7,0021000035,20101030,Center(C)
12,15,True,2PT,Restricted Area,1,0021000035,20101030,Center(C)
3,20,False,2PT,Restricted Area,2,0021000035,20101030,Center(C)
6,25,False,2PT,Restricted Area,2,0021000035,20101030,Center(C)
13,28,True,2PT,Restricted Area,3,0021000035,20101030,Center(C)
147,48,False,2PT,Mid-Range,15,0021000044,20101101,Right Side(R)
10,22,False,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-95,153,True,2PT,Mid-Range,18,0021000044,20101101,Left Side Center(LC)
-11,16,False,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-15,20,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-54,175,True,2PT,Mid-Range,18,0021000044,20101101,Center(C)
-19,14,False,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-75,33,False,2PT,In The Paint (Non-RA),8,0021000044,20101101,Left Side(L)
-14,17,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-5,25,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
18,26,False,2PT,Restricted Area,3,0021000066,20101104,Center(C)
0,20,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
-105,135,True,2PT,Mid-Range,17,0021000066,20101104,Left Side Center(LC)
2,25,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
