loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
65,173,False,2PT,Mid-Range,18,0021000011,20101027,Right Side Center(RC)
-24,7,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
-41,448,False,3PT,Backcourt,44,0021000011,20101027,Back Court(BC)
13,3,False,2PT,Restricted Area,1,0021000011,20101027,Center(C)
-41,15,False,2PT,In The Paint (Non-RA),4,0021000011,20101027,Center(C)
9,17,False,2PT,Restricted Area,1,0021000011,20101027,Center(C)
0,14,True,2PT,Restricted Area,1,0021000035,20101030,Center(C)
-18,36,False,2PT,In The Paint (Non-RA),4,0021000035,20101030,Center(C)
-4,149,False,2PT,Mid-Range,14,0021000035,20101030,Center(C)
-7,11,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-105,153,False,2PT,Mid-Range,18,0021000044,20101101,Left Side Center(LC)
-149,96,True,2PT,Mid-Range,17,0021000044,20101101,Left Side(L)
174,119,False,2PT,Mid-Range,21,0021000066,20101104,Right Side(R)
-2,20,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
-38,22,True,2PT,In The Paint (Non-RA),4,0021000066,20101104,Center(C)
-7,15,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
17,9,False,2PT,Restricted Area,1,0021000073,20101105,Center(C)
12,9,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
174,99,True,2PT,Mid-Range,20,0021000073,20101105,Right Side(R)
95,167,False,2PT,Mid-Range,19,0021000098,20101108,Right Side Center(RC)
157,-6,True,2PT,Mid-Range,15,0021000098,20101108,Right Side(R)
10,19,True,2PT,Restricted Area,2,0021000098,20101108,Center(C)
17,11,False,2PT,Restricted Area,2,0021000119,20101111,Center(C)
24,14,True,2PT,Restricted Area,2,0021000119,20101111,Center(C)
-64,187,False,2PT,Mid-Range,19,0021000119,20101111,Left Side Center(LC)
152,118,False,2PT,Mid-Range,19,0021000119,20101111,Right Side Center(RC)
23,15,True,2PT,Restricted Area,2,0021000134,20101113,Center(C)
23,26,True,2PT,Restricted Area,3,0021000134,20101113,Center(C)
0,55,True,2PT,In The Paint (Non-RA),5,0021000134,20101113,Center(C)
-185,-11,False,2PT,Mid-Range,18,0021000134,20101113,Left Side(L)
6,4,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
6,4,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
4,0,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
-84,132,True,2PT,Mid-Range,15,0021000156,20101116,Left Side(L)
7,4,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
99,160,False,2PT,Mid-Range,18,0021000156,20101116,Right Side Center(RC)
168,17,False,2PT,Mid-Range,16,0021000156,20101116,Right Side(R)
39,20,False,2PT,In The Paint (Non-RA),4,0021000166,20101117,Center(C)
4,146,True,2PT,Mid-Range,14,0021000166,20101117,Center(C)
